district,current_total,proposed_total,current_agg_assault,proposed_agg_assault,current_homicide,proposed_homicide,current_shooting,proposed_shooting,proposed_arson,proposed_burglary,proposed_common_assault,proposed_larceny,proposed_larceny_from_auto,proposed_rape,proposed_robbery_carjacking,proposed_robbery_commercial,proposed_robbery_residence,proposed_robbery_street,current_arson,current_burglary,current_common_assault,current_larceny,current_larceny_from_auto,current_rape,current_robbery_carjacking,current_robbery_commercial,current_robbery_residence,current_robbery_street
central,11.61653247450349,13.18528888850716,10.43147627707059,12.387880791964617,5.919003115264798,6.4797507788162,7.125477928397636,7.6842837273991655,5.283757338551859,7.692759065837343,13.897362524633532,16.712292308277252,16.403002867545187,13.000616142945162,8.029837648091268,17.445917655268666,6.723063223508459,17.188646929287987,5.6751467710371815,7.5959394437272625,12.081949955461981,14.451097804391216,14.057415342977736,13.308687615526802,9.433962264150944,14.189346359618515,7.658058771148708,15.142804721423767
eastern,8.769511540526032,10.13707925001503,11.365514961150604,12.090274046211714,14.70404984423676,14.766355140186915,14.737573861661451,13.838664812239221,14.383561643835616,9.837460391972773,11.405663688146209,9.395080034979658,7.655379063698168,11.398644485520641,9.258446687143485,9.281228192602931,12.377560106856635,10.747492047956937,9.980430528375733,7.739701912921018,10.977946932275218,7.626651458986789,7.974353191352257,10.04313000616143,6.099166301009214,7.001628285647825,8.281389136242208,8.311418261880007
northeastern,14.797208803005905,11.452902627352293,13.460902628533642,9.453147604679039,12.33644859813084,7.7258566978193155,11.400764685436219,7.545201668984701,13.209393346379647,13.050111489261823,10.67138190751289,9.836127903881982,12.620420788091632,10.104744300677758,10.706450197455023,12.04931379390556,15.405164737310775,11.848544164423783,19.08023483365949,16.6207017955639,14.484303722298703,13.181256534549949,14.137964365112607,13.37030191004313,13.20754716981132,15.329146313096068,20.614425645592164,14.781970521680632
northern,11.156199677938808,10.634807479236272,8.17490494296578,9.089406026536603,6.853582554517133,9.532710280373832,6.847410497045534,9.00556328233658,9.980430528375733,12.266752728552985,8.962557028318441,11.554693737880688,11.46373683023488,10.659272951324708,11.671785870996052,12.374970923470574,9.572573463935887,9.750428186934181,8.023483365949119,13.296561436451121,8.645774286716874,12.571048379431613,13.181041982150338,11.028958718422674,11.232996928477403,13.444987206327053,9.48352626892253,10.776099321142437
northwestern,9.883413848631239,10.069656185314656,9.749545379401555,9.196875129169594,12.834890965732088,12.087227414330219,11.018421967327077,10.361613351877608,12.13307240704501,11.732777842976176,9.35939313770483,9.3228394357629,8.957051261397686,10.474430067775724,15.225976305397104,9.95580367527332,9.082813891362422,8.325177391729875,12.818003913894325,10.908344091069123,9.182929791885982,9.272882805816938,8.496310854786222,10.536044362292053,14.523913997367266,10.07210979297511,9.884238646482636,8.562167451532018
southeastern,14.233387010198603,12.917743861065542,10.981153909737147,10.217831604183027,6.853582554517133,7.912772585669782,6.6041014946124434,7.858136300417246,8.21917808219178,13.132261471658255,11.178900197068272,13.82076727120642,17.923768405451558,9.981515711645102,8.995173321632295,12.723889276575948,9.43900267141585,14.460484462931245,7.534246575342466,13.146931111371904,12.303290414878399,15.73044387415645,20.353126913039276,9.426987060998151,10.92584466871435,14.073040241916726,9.617097061442564,17.56467494342854
southern,11.234782608695653,11.015296876207818,12.076376260538932,11.222254371099078,9.657320872274143,7.78816199376947,11.29648939867918,9.561891515994436,10.861056751467709,11.759183194460745,10.741570607132251,11.640241815900536,10.116957180139833,9.981515711645102,8.380868802106187,11.933007676203768,13.268032056990206,9.891118179593834,12.13307240704501,12.486797324257717,10.810591950765245,11.246079270031366,10.081515610400489,11.460258780036968,10.92584466871435,11.281693417073738,14.024933214603742,10.800562656718244
southwestern,10.361782071927,9.903889924331567,12.357414448669202,12.511883602694995,14.018691588785046,16.074766355140188,14.042405283281195,15.890125173852573,13.60078277886497,11.081445839690177,11.089814539859082,8.311471046728261,6.769339820214583,12.384473197781885,12.724879333040807,8.164689462665736,12.333036509349956,8.202838267678004,14.579256360078277,11.04917263232015,11.94428698680055,9.345119285239045,7.0689821825563035,11.706715958102281,12.54936375603335,9.304489416143289,11.932324131789848,7.528591523454223
western,7.947181964573269,10.683334907969662,11.40271119193255,13.830446823461331,16.822429906542055,17.63239875389408,16.92735488355926,18.25452016689847,12.32876712328767,9.447247975589718,12.693356369624489,9.406486445382304,8.090343783226471,12.014787430683919,15.00658183413778,6.071179344033497,11.798753339269814,9.585270369464155,10.176125244618394,7.155850252317802,9.568925958917053,6.575420587396636,4.64928955762477,9.118915588416513,11.101360245721807,5.303558967201675,8.504007123775601,6.531710598740139
