OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,ShapeSTAre,ShapeSTLen,trac_area,diff_area
"2971","24","510","270801","24510270801","2708.01",Census Tract,G5020,S,"806701","0","+39.3691930","-076.5912570",1351591.523437500000000,5285.872223186031988,"806704","3016"
"2972","24","510","270703","24510270703","2707.03",Census Tract,G5020,S,"993947","0","+39.3686909","-076.5542537",1665289.019531250000000,5557.995303607887763,"993949","18356"
"2981","24","510","271501","24510271501","2715.01",Census Tract,G5020,S,"3628340","18282","+39.3642233","-076.6614760",6108998.847656250000000,10514.633519908835297,"3646623","20825"
"2993","24","510","270803","24510270803","2708.03",Census Tract,G5020,S,"2190787","2110","+39.3642762","-076.5803260",3673420.171875000000000,8642.274157364870916,"2192897","12156"
"2997","24","510","270804","24510270804","2708.04",Census Tract,G5020,S,"721489","0","+39.3686599","-076.6045879",1208795.597656250232831,4740.395496569499301,"721486","6731"
"3022","24","510","271200","24510271200","2712",Census Tract,G5020,S,"3599462","933","+39.3637054","-076.6203629",6031257.882812500000000,11050.814336885408920,"3600401","8693"
"3030","24","510","271300","24510271300","2713",Census Tract,G5020,S,"2861713","3175","+39.3628280","-076.6395253",4799126.218750000000000,9786.245674070718451,"2864893","8214"
"3032","24","510","220100","24510220100","2201",Census Tract,G5020,S,"1154889","284941","+39.2827739","-076.6139104",2406468.828125000000000,7001.719097773799149,"1439828","287159"
"3033","24","510","230300","24510230300","2303",Census Tract,G5020,S,"1312475","711520","+39.2643329","-076.6193615",3381077.312500000000000,9296.985114679797334,"2023998","579677"
"3034","24","510","240100","24510240100","2401",Census Tract,G5020,S,"1906851","2352887","+39.2650952","-076.5874454",7116030.937500000000000,11965.074035850224391,"4259735","2293919"
"3036","24","510","240200","24510240200","2402",Census Tract,G5020,S,"435843","311903","+39.2736267","-076.6002800",1249486.750000000000000,4847.421409967755608,"747746","322106"
