fid,district,dist_name,shape_star,shape_stle,SHAPE__Len,SHAPE__Are,dist_area,diff_area
"2","2",Southeastern,259727662.838999986648560,166650.351296000008006,65673.352493371596211,40327843.597975626587868,"24130816","2844"
"4","4",Northeastern,446284308.389999985694885,91007.155087000006461,35893.558473007324210,69411195.176428183913231,"41462790","38171"
"5","5",Northern,376848766.523000001907349,92065.260674399993150,36305.206288070839946,58622522.991994597017765,"35011701","20046"
"6","6",Northwestern,270879408.244000017642975,85532.440417299992987,33735.111659983871505,42131904.310916893184185,"25166495","13657"
"8","8",Southwestern,285508051.689000010490417,85655.827484499997809,33755.744871688373678,44340793.300465837121010,"26525971","74369"
"9","9",Southern,374092823.288999974727631,295733.179378000029828,116466.260636966020684,58032190.468897826969624,"34756535","46610"
